Country,Code,Year,Population,LifeExp,GDPperCap,Continent_Name
Zambia,ZMB,1952,2431000.0,43.001000000000005,1127.0,Africa
Albania,ALB,1952,1316000.0,54.875,1544.0,Europe
Jordan,JOR,1952,576000.0,46.06399999999999,2053.0,Asia
Ethiopia,ETH,1952,18820000.0,33.833,680.0,Africa
Iceland,ISL,1952,148000.0,72.125,9153.0,Europe
Poland,POL,1952,25764000.0,60.956,3236.0,Europe
Spain,ESP,1952,28399000.0,64.255,4930.0,Europe
Nepal,NPL,1952,8835000.0,34.509,587.0,Asia
Yemen,YEM,1952,4776000.0,29.201,1069.0,Asia
Pakistan,PAK,1952,38517000.0,36.891999999999996,1062.0,Asia
Nicaragua,NIC,1952,1372000.0,41.998000000000005,1985.0,North America
Barbados,BRB,1952,220000.0,54.891000000000005,4934.0,North America
Chad,TCD,1952,2589000.0,35.926,1295.0,Africa
Namibia,NAM,1952,534000.0,40.314,3306.0,Africa
France,FRA,1952,42316000.0,67.03699999999999,7473.0,Europe
Japan,JPN,1952,85659000.0,62.427,3086.0,Asia
Afghanistan,AFG,1952,7936000.0,28.361,2462.0,Asia
Hungary,HUN,1952,9598000.0,63.698,3047.0,Europe
Congo,COG,1952,858000.0,40.056999999999995,1227.0,Africa
Hong Kong,HKG,1952,2150000.0,62.878,3781.0,Asia
Sweden,SWE,1952,7128000.0,71.749,9264.0,Europe
Ecuador,ECU,1952,3655000.0,48.299,2639.0,South America
Sao Tome and Principe,STP,1952,59000.0,46.507,1137.0,Africa
Philippines,PHL,1952,19945000.0,56.13,1382.0,Asia
Sri Lanka,LKA,1952,8257000.0,54.102,1528.0,Asia
Zimbabwe,ZWE,1952,2922000.0,49.46,2033.0,Africa
Portugal,PRT,1952,8452000.0,60.118,2914.0,Europe
Bosnia and Herzegovina,BIH,1952,2765000.0,53.163999999999994,634.0,Europe
Iraq,IRQ,1952,6065000.0,37.217,3263.0,Asia
Ireland,IRL,1952,2909000.0,66.628,5018.0,Europe
Switzerland,CHE,1952,4781000.0,69.19800000000001,10030.0,Europe
Thailand,THA,1952,21838000.0,50.566,1098.0,Asia
Iran,IRN,1952,17934000.0,40.297,2429.0,Asia
Comoros,COM,1952,167000.0,38.551,910.0,Africa
